variable,relative_importance,scaled_importance,percentage
OverallQual,290.6368408203125,1.0,0.41992379962815557
GrLivArea,153.62490844726562,0.5285802997777729,0.22196344789127187
TotalBsmtSF,54.112510681152344,0.1861859994363469,0.0781839323208764
GarageCars,27.00834846496582,0.0929281655716312,0.03902274837931372
YearBuilt,26.411895751953125,0.09087593877433589,0.038160969504894754
YearRemodAdd,25.21234893798828,0.08674863402322738,0.03642781601158593
Fireplaces,19.89065933227539,0.06843818999729934,0.028738824783339566
GarageArea,17.160341262817383,0.05904392992431004,0.024793951398794825
BsmtFinSF1,16.792593002319336,0.05777861111799461,0.024262613917905886
LotArea,10.709784507751465,0.03684937008509818,0.015473927500038516
CentralAir_Y,10.525547981262207,0.036215463777937475,0.015207735154927342
1stFlrSF,5.487185478210449,0.018879868989502696,0.007928106322553757
GarageYrBlt,3.3612871170043945,0.011565247913916478,0.004856522847653407
Functional_Typ,2.783007860183716,0.009575550891376234,0.0040210017138394795
ExterCond_Fa,2.515618085861206,0.00865553753874065,0.0036346662110921077
SaleCondition_Normal,2.457972288131714,0.008457194487781285,0.0035513772435034102
KitchenQual_TA,2.318695545196533,0.00797798220849117,0.0033501446023554357
MSZoning_RM,2.1940038204193115,0.0075489528933317986,0.0031699849821818474
Neighborhood_IDOTRR,1.76630699634552,0.006077367863482754,0.002552031404971724
GarageType_Attchd,1.7145299911499023,0.005899217684553343,0.0024772219049312497
BsmtExposure_Gd,1.6205759048461914,0.005575947977799964,0.002341473261366691
GarageQual_TA,1.4457502365112305,0.00497442179880104,0.002088878102705657
Neighborhood_Edwards,1.2782049179077148,0.004397945264956863,0.0018468018862173412
PavedDrive_Y,1.1835119724273682,0.0040721333506342355,0.0017099857091908606
Condition1_Norm,0.996153712272644,0.0034274860319188525,0.001439282957695794
BldgType_Duplex,0.9562653303146362,0.0032902412771058554,0.0013816506187756857
MasVnrArea,0.9150990843772888,0.0031485997501020623,0.0013221719705711192
LotFrontage,0.9051430821418762,0.0031143439337805246,0.0013077871380220147
Neighborhood_OldTown,0.798221230506897,0.002746455777092625,0.0011533021454274337
HeatingQC_TA,0.6112974286079407,0.00210330330760056,0.0008832271166980943
Neighborhood_Crawfor,0.5890189409255981,0.0020266492687682418,0.000851038261454783
GarageFinish_Unf,0.5449510216712952,0.001875023896258952,0.0007873671589106476
FullBath,0.3768390119075775,0.0012965975367883933,0.0005444721642366893
Electrical_SBrkr,0.32608577609062195,0.00112196986166742,0.000471141847379659
TotRmsAbvGrd,0.31128600239753723,0.0010710479838651672,0.0004497585389687364
BsmtCond_TA,0.2721571922302246,0.0009364167029275101,0.0003932236599285898
MSZoning_RL,0.23211409151554108,0.0007986396041892247,0.00033536777712466544
BsmtQual_Gd,0.1800510287284851,0.0006195051811748891,0.00026014496956828836
Foundation_CBlock,0.16109870374202728,0.0005542955369571583,0.00023276188799597865
Neighborhood_NAmes,0.11905039846897125,0.0004096190907283316,0.00017200880497887118
SaleType_New,0.11649999767541885,0.0004008438756305003,0.0001683238833124355
BsmtExposure_No,0.11261600255966187,0.00038748013583483453,0.00016271213092019753
BsmtFinType2_BLQ,0.11071699857711792,0.0003809461947928659,0.00015996837357130773
Neighborhood_Sawyer,0.1030770018696785,0.0003546591050836749,0.00014892979897945804
LotConfig_Inside,0.09834010154008865,0.0003383607572341039,0.0001420857348228048
Neighborhood_SawyerW,0.09469100087881088,0.00032580522349317034,0.00013681336738795248
FireplaceQu_None,0.09067580103874207,0.0003119900449743836,0.0001310120451318023
LotShape_Reg,0.08673504739999771,0.00029843101499173685,0.00012531828574221718
BsmtCond_Gd,0.08545680344104767,0.0002940329353974836,0.0001234714274479313
HouseStyle_1Story,0.0818524956703186,0.00028163152145231396,0.00011826377858331409
GarageCond_Fa,0.07143359631299973,0.0002457830057310727,0.00010321013365062077
FireplaceQu_Gd,0.059262700378894806,0.00020390636029358106,8.562513358282822e-05
BsmtFinType1_BLQ,0.054293300956487656,0.00018680804815812983,7.844514538368134e-05
Exterior1st_WdSdng,0.05283990129828453,0.0001818073068408868,7.634521508878714e-05
Neighborhood_MeadowV,0.050240401178598404,0.00017286315470811133,7.25893527407398e-05
Neighborhood_CollgCr,0.04842325299978256,0.00016661085656969569,6.996386395004826e-05
Functional_Min2,0.04638209939002991,0.00015958781845796984,6.701472310123898e-05
Functional_Min1,0.04481720179319382,0.00015420344394984065,6.47536960991644e-05
BldgType_TwnhsE,0.03605730086565018,0.00012406307735756997,5.209703883755257e-05
Neighborhood_Mitchel,0.026917599141597748,9.261592255690555e-05,3.8891630106162774e-05
Exterior1st_MetalSd,0.025416899472475052,8.745243514461803e-05,3.672335885266285e-05
ExterCond_TA,0.022345900535583496,7.688598758682127e-05,3.228625604562119e-05
Exterior2nd_WdShng,0.02165669947862625,7.451463970466016e-05,3.129047063270392e-05
RoofStyle_Gable,0.01871670037508011,6.4398925897532e-05,2.7042641654863665e-05
BsmtFinType1_Rec,0.017455600202083588,6.0059833271018756e-05,2.5220553392199712e-05
BsmtQual_TA,0.013719799928367138,4.720599043687467e-05,1.9822918869462785e-05
FireplaceQu_TA,0.010074900463223457,3.4664911835634456e-05,1.455662149179464e-05
Foundation_PConc,0.010072199627757072,3.4655619016944426e-05,1.4552719216061068e-05
