,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-09 11:38:51,33.034 sec,0.0,,,
1,,2019-04-09 11:38:51,33.309 sec,1.0,0.26213481391457927,0.18091018994649252,0.0687146606660311
2,,2019-04-09 11:38:51,33.660 sec,2.0,0.22678210665842513,0.1570053757537246,0.05143012390043331
3,,2019-04-09 11:38:52,33.973 sec,3.0,0.21549066090756172,0.14832762494715135,0.04643622493837775
4,,2019-04-09 11:38:52,34.291 sec,4.0,0.20949986301012216,0.14514145853703034,0.04389019260125995
5,,2019-04-09 11:38:52,34.529 sec,5.0,0.20510906336058235,0.14074871292767327,0.04206972787265539
6,,2019-04-09 11:38:52,34.754 sec,6.0,0.19772179272643386,0.13408244351183676,0.03909390731895488
7,,2019-04-09 11:38:53,34.947 sec,7.0,0.19101275930755715,0.12975879500512366,0.03648587421828676
8,,2019-04-09 11:38:53,35.190 sec,8.0,0.18629446888250722,0.12654329323606656,0.03470562913621546
9,,2019-04-09 11:38:53,35.480 sec,9.0,0.18075951420742561,0.12369048533727084,0.0326740019765045
10,,2019-04-09 11:38:53,35.699 sec,10.0,0.17438432719131533,0.12039874323980183,0.030409893569967716
11,,2019-04-09 11:38:54,35.891 sec,11.0,0.17022360781013865,0.11727688136150359,0.028976076655899893
12,,2019-04-09 11:38:54,36.109 sec,12.0,0.1688035978279068,0.11591521043813746,0.0284946546396457
13,,2019-04-09 11:38:54,36.338 sec,13.0,0.1663012679228333,0.11432425896727569,0.027656111712741988
14,,2019-04-09 11:38:54,36.541 sec,14.0,0.16537474994111556,0.113347074009267,0.0273488079180865
15,,2019-04-09 11:38:54,36.760 sec,15.0,0.16487492133613776,0.11311792496419926,0.027183739685597612
16,,2019-04-09 11:38:55,36.998 sec,16.0,0.16340252398559632,0.11208693826207194,0.02670038484486338
17,,2019-04-09 11:38:57,39.410 sec,26.0,0.1532430099360818,0.10329477480752632,0.023483420094270065
